City,Business Name,Street Address,Zip Code,Phone Number,Provider Type,Primary Services
Schuyler,Schuyler Garage & Diagnostics,410 Gold St,68661,(402) 352-2340,Independent Local Specialist,"Wrecker Support, Powertrain Failure Fixes"
Scottsbluff,Scottsbluff Auto Clinic,1402 Ave I,69361,(308) 635-3115,Independent Local Specialist,"Transfer Cases, Injector Cleanse"
Scottsbluff,Goodyear Auto Service,714 Avenue I,69361,(308) 632-4411,National Chain,"Tires, Steering Systems, Routine Adjustments"
Seward,Seward Auto Diagnostic Center,234 S 4th St,68434,(402) 643-4554,Independent Local Specialist,"Evaporative Emissions, ABS Electronics"
Sidney,Sidney Auto Tech,1740 Illinois St,69162,(308) 254-2045,Independent Local Specialist,"Rotors, Metallic Pads, Dynamic Balancing"
South Sioux City,South Sioux Automotive,112 W 29th St,68776,(402) 494-8899,Independent Local Specialist,"Rack & Pinion Realignment, Fuel Lines"
St. Paul,St. Paul Auto Clinic,612 Howard Ave,68873,(308) 754-3311,Independent Local Specialist,"Distributor Overhauls, Standard Lubrication"
Superior,Superior Auto Diagnostics,425 Central Ave,68978,(402) 879-3320,Independent Local Specialist,"Radiator Cores, High Pressure Injector Blocks"
Sutton,Sutton Machine & Mechanical,204 S Saunders Ave,68979,(402) 773-4112,Independent Local Specialist,"Farm Implements, Light Commercial Systems"
Tecumseh,Tecumseh Motors & Repair,380 Broadway St,68450,(402) 335-2144,Independent Local Specialist,"Cold Battery Diagnostics, Synthetic Oil Care"
Valentine,Sandhills Auto Repair,312 Cherry St,69201,(408) 376-2110,Independent Local Specialist,"4x4 Locking Hub Assemblies, Alignments"
Wahoo,Wahoo Auto Care Garage,451 N Chestnut St,68066,(402) 443-3110,Independent Local Specialist,"Air Intake Assemblies, Belts, System Filters"
Waverly,Waverly Auto Clinic,10140 N 142nd St,68462,(402) 786-2645,Independent Local Specialist,"General Preventative Upkeep, Belts, Batteries"
Wayne,Wayne Auto Precision,310 S Main St,68787,(402) 375-4412,Independent Local Specialist,"Manifold Updates, Operational Fluids"
West Point,West Point Auto Repair,215 S Lincoln St,68788,(402) 372-5531,Independent Local Specialist,Heavy Agriculture Engine Fitting & Tuning
York,York Automotive Clinic,920 Lincoln Ave,68467,(402) 362-6644,Independent Local Specialist,"Cylinder Mapping, Serpentine Belts"
